gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3698885241	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4891	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus ternarius		SPECIES	Bombus ternarius Say, 1837	Bombus ternarius		US	Isham xmas farm	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.393009	-73.096478	250.0						2019-07-27T15:30:00	27	7	2019	1340516	1340516	PRESERVED_SPECIMEN	VCE		19-4891		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Ray Gonda			2023-03-07T15:13:00.312Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885242	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4892	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus ternarius		SPECIES	Bombus ternarius Say, 1837	Bombus ternarius		US	Isham xmas farm	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.393009	-73.096478	250.0						2019-07-27T15:30:00	27	7	2019	1340516	1340516	PRESERVED_SPECIMEN	VCE		19-4892		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Ray Gonda			2023-03-07T15:13:00.312Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885256	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4899	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus bimaculatus		SPECIES	Bombus bimaculatus Cresson, 1863	Bombus bimaculatus		US	Isham urban	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.391819	-73.093979	250.0						2019-08-05T14:50:00	5	8	2019	1340382	1340382	PRESERVED_SPECIMEN	VCE		19-4899		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Ray Gonda			2023-03-07T15:13:00.317Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885252	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4896	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Isham urban	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.391819	-73.093979	250.0						2019-08-05T14:50:00	5	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4896		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Ray Gonda			2023-03-07T15:13:00.318Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885254	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4895	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Isham urban	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.391819	-73.093979	250.0						2019-08-05T14:50:00	5	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4895		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Ray Gonda			2023-03-07T15:13:00.318Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885250	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4898	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus bimaculatus		SPECIES	Bombus bimaculatus Cresson, 1863	Bombus bimaculatus		US	Isham urban	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.391819	-73.093979	250.0						2019-08-05T14:50:00	5	8	2019	1340382	1340382	PRESERVED_SPECIMEN	VCE		19-4898		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Ray Gonda			2023-03-07T15:13:00.315Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885246	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4897	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Isham urban	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.391819	-73.093979	250.0						2019-08-05T14:50:00	5	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4897		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Ray Gonda			2023-03-07T15:13:00.315Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885282	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4860	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4860		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.367Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885284	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4861	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4861		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.326Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885290	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4864	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4864		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.329Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
