1902	Gastropoda		Pleuroceridae	Gyrotoma	Gyrotoma pagoda					2301960	0	0	0	1213	399	3	6	EX											
1907	Gastropoda		Pleuroceridae	Gyrotoma	Gyrotoma pagoda	32.64778	-86.36972			2301960	0	0	0	1213	399	3	6	EX											
1913	Gastropoda		Pleuroceridae	Gyrotoma	Gyrotoma pagoda					2301960	0	0	0	1213	399	3	6	EX											
1940	Gastropoda		Pleuroceridae	Gyrotoma	Gyrotoma pagoda					2301960	0	0	0	1213	399	3	6	EX											
