1989	Gastropoda	Seguenziida		Vetulonia	Vetulonia phalcata	-16.98333	-173.916672		2000.0	7697090	1	0	0	1213	1	4	2	VU	28.2	22.5	25.772876712328767	5.003287671232877							
2005	Gastropoda	Seguenziida		Vetulonia	Vetulonia phalcata	-16.991667	173.915		1988.5	7697090	1	0	0	1213	1	4	2	VU	29.2	22.0	26.016164383561645	4.033698630136986							
