scientific_name
Platyla gracilis
Albinaria mixta
Trochomorpha melvillensis
Viviparus acerosus
Macedonica martae
Promenetus exacuous
Conus flavidus
Sepia mestus
Ancylus tapirulus
Crassostrea tulipa
Haliotis dissona
Pirenella conica
Amplirhagada confusa
Cremnoconchus syhadrensis
Histioteuthis meleagroteuthis
Cochlostoma anomphale
Elimia alabamensis
Canariella ronceroi
Hippeutis complanatus
Geomitra grabhami
Conus circumactus
Beddomeia wiseae
Conus aurisiacus
Partula micans
Conus mucronatus
Alinda atanasovi
Acicula lineolata
Acostaea rivolii
Bulinus truncatus
Probythinella emarginata
Conus kalafuti
Hubendickia microsculpta
Elimia proxima
Conus papilliferus
Histioteuthis bonnellii
Conus mozambicus
Cristilabrum monodon
Quintalia flosculus
Conus naranjus
Meledella werneri
Conus erythraeensis
Fluviopupa gracilis
Elimia nassula
Cochlostoma nanum
Conus miruchae
Oxychilus tropidophorus
Austropyrgus niger
Obscurella conica
Pyrgulopsis stearnsiana
Bathymodiolus elongatus
Floridobia helicogyra
Haliotis rubra
Albinaria proteus
Funduella incisa
Conus rosalindensis
Conus ardisiaceus
Telescopium telescopium
Melanodrymia aurantiaca
Lampedusa lopadusae
Cleopatra exarata
Perforatella bidentata
Conus cervus
Conus bulbus
Oxychilus agostinhoi
Hemicycla bethencourtiana
Deroceras cazioti
Philonesia pitcairnensis
Sepia officinalis
Herilla pavlovici
Conus adamsonii
Acuticosta chinensis
Conus betulinus
Opisthoteuthis mero
Somatogyrus humerosus
Helicella stiparum
Pseudobithynia falniowskii
Conus typhon
Vitrinula hahajimana
Semisulcospira niponica
Epioblasma penita
Pyroteuthis margaritifera
Puncturella parvinobilis
Hyriopsis bialata
Pyrgulopsis robusta
Phreagena edisonensis
Fusconaia burkei
Agardhiella macrodonta
Carinigera buresi
Acicula vezzanii
Octopus briareus
Theodoxus prevostianus
Conus variegatus
Elimia clavaeformis
Gastrocopta boninensis
Melanoides nsendweensis
Pyrgulopsis roswellensis
Bellamya rubicunda
Baudinella baudinensis
Islamia ateni
Helix cincta
Tremoctopus gelatus
Sthenoteuthis oualaniensis
Elimia vanuxemiana
Omphalotropis rosea
Aegopis tenerrimus
Conus boeticus
Opisthostoma michaelis
Isabellaria abyssoclista
Turanena carpathia
Parafossarulus eximius
Somatogyrus crassus
Xerocrassa montserratensis
Strigilodelima conspersa
Delima subcylindrica
Neolepetopsis verruca
Conus suturatus
Tropidoptera heliciformis
Pseudocleopatra dartevellei
Galba truncatula
Bathymodiolus brevior
Crosseana crosseana
Conus coccineus
Margaritifera marrianae
Codringtonia intusplicata
Conus pica
Sepioteuthis sepioidea
