Amphitretus	2
Cranchia	1
Chondrina	11
Liocranchia	2
Cincinnatia	1
Fluminicola	2
Hinea	1
Melampus	6
Lyogyrus	1
Cassidula	1
Littoridinops	1
Vitrea	7
Iphinopsis	1
Laemodonta	1
Graziana	1
Monacha	4
Castalia	2
Perforatella	1
Filippovia	2
Gigantidas	3
Australiteuthis	1
Vallonia	1
Ellobium	1
Abida	10
Beringiana	1
Monoplex	1
Paludinella	2
Rossia	3
Grimalditeuthis	1
Cyprogenia	1
Lampadioteuthis	1
Cyclonaias	8
Filopaludina	1
Limax	10
Cumberlandia	1
Clithon	4
Tremoctopus	4
Gabbiella	1
Planostrea	1
Histoctopus	1
Xerocrassa	5
Pomatiopsis	2
Laciniaria	1
Lamprotula	1
Pseudotrichia	1
Monachoides	1
Planorbella	2
Notopala	2
Vitta	7
Trochoidea	1
Delphinatia	2
Partulina	1
Amastra	1
Campylaea	1
Posorites	1
Monadenia	1
Benedictia	1
Strigillaria	1
Marstonia	2
Vittina	1
Bentheledone	1
Jaminia	3
Neniatlanta	2
Helicella	4
Bathothauma	1
Leptogyra	1
Ruthenica	1
Thiessea	1
Scabies	1
Pleuronaia	1
Promenetus	2
Opisthoteuthis	5
Ascorhis	1
Papuexul	1
Ancistroteuthis	1
Californiconus	2
Xerotricha	1
Planilaoma	1
Elliptio	16
Octopus	23
Septaria	1
Cornisepta	1
Pareledone	13
Protolinitis	1
Lycoteuthis	1
Mastus	1
Toxolasma	3
Spirula	1
Partula	2
Pleurobema	7
Taylorconcha	1
Ashfordia	1
Pleuroloba	1
Erjavecia	1
Papillifera	1
Cylindrovertilla	1
Melarhaphe	1
Robsonella	1
Napaeus	1
Dreissena	2
Mesonychoteuthis	1
Schistophallus	1
Ommastrephes	1
Unio	5
Abraliopsis	7
Cochlicopa	1
Pisidium	7
Pseudocampylaea	1
Enigmaticolus	1
Chilostoma	3
Tryonia	3
Thaumeledone	4
Macrogastra	7
Cantrainea	2
Plectomerus	1
Cochlostoma	7
Hemistena	1
Lymnaea	1
Clausilia	8
Paroctopus	2
Moroteuthopsis	3
Boucardicus	1
Cantareus	1
Galiteuthis	4
Montserratina	2
Schistodesmus	1
Columella	3
Moitessieria	1
Solutigyra	1
Thysanoteuthis	1
Merdigera	1
Popenaias	1
Alluroteuthis	1
Protolira	1
Pteroctopus	1
Callistocharis	1
Xeroplexa	2
Virpazaria	4
Lamellidens	3
Belgrandiella	1
Pliocardia	1
Cernuella	2
Pleurocera	1
Limnoperna	1
Hohenwartiana	1
Rhynchopelta	1
Clypeosectus	2
Candidula	1
Letourneuxia	1
Turneroconcha	1
Praealtus	1
Bruceiella	3
Obscurella	10
Deshayesiella	1
Vertigo	9
Valvata	3
Helisoma	1
Poecilozonites	1
Victaphanta	2
Plentuisa	1
Pterygioteuthis	3
Discus	3
Buccinum	1
Plethobasus	1
Gonatus	9
Puncturella	1
Lirapex	3
Spiralix	1
Canariella	1
Sphyradium	1
Beckianum	1
Hedleyoconcha	1
Retinella	3
Hydrocena	1
Sinployea	1
Sinotaia	1
Cyrnotheba	1
Cattania	2
Mastigophallus	1
Achatinella	7
Hygromia	3
Planorbidella	3
Tropinauta	1
Enoploteuthis	6
Limacus	2
Mytilopsis	2
Macrotritopus	3
Pholidoteuthis	3
Cornu	1
Helminthoglypta	1
Muusoctopus	21
Chiroteuthis	7
Kobeltocochlea	1
Euglesa	21
Insulivitrina	1
Haliotis	38
Semilimax	2
Euomphalia	1
Obliquaria	1
Peregriana	1
Gyraulus	4
Maoristylus	2
Discocharopa	1
Truncilla	1
Helicina	1
Joubiniteuthis	1
Ranella	1
Batoteuthis	1
Dendronotus	1
Causa	1
Birgella	1
Charpentieria	1
Lithoglyphus	1
Bellamya	1
Martialia	1
Fusulus	1
Astraea	1
Ena	1
Homalopoma	1
Anodontites	1
Sasakiopus	1
Argna	2
Hemicycla	2
Uniomerus	3
Ligumia	1
Conus	393
Oxychilus	13
Otina	1
Platyla	6
Ortmanniana	2
Helix	10
Neomphalus	1
Angustassiminea	1
Hauffenia	1
Cepaea	2
Craterodiscus	1
Phenacolimax	2
Drepanostoma	1
Pseudunio	1
Musculium	6
Elimia	2
Edentiella	1
Gonatopsis	3
Eremarionta	2
Laeviphitus	2
Solen	1
Margaritifera	2
Allaegopis	1
Sauroconcha	1
Helicigona	1
Ellipsaria	1
Colligyrus	1
Alasmidonta	5
Epioblasma	3
Simpsonaias	1
Todarodes	4
Macroctopus	1
Temnocinclis	1
Arcidens	1
Sepia	31
Medionidus	2
Ptychobranchus	1
Amblema	2
Pomacea	6
Zonites	1
Cipangopaludina	3
Amphioctopus	11
Pinna	1
Asperoteuthis	1
Albinaria	2
Todaropsis	1
Tacheocampylaea	2
Amnicola	2
Cellariopsis	1
Diplodontites	1
Littoraria	2
Helicodonta	2
Sphaerospira	1
Chrysomallon	1
Taonius	5
Theliderma	2
Pyrenaearia	6
Elliptoideus	1
Ashmunella	1
Tridacna	4
Cycloteuthis	1
Spinaxinus	1
Hirtopelta	1
Nodularia	1
Utterbackiana	1
Ganula	1
Architeuthis	1
Oreomava	1
Chondrus	1
Euconulus	1
Faustina	1
Paetulunio	1
Pachydermia	2
Eledone	4
Tandonia	5
Megaleledone	2
Neritina	1
Physella	1
Conasprella	47
Edentulina	1
Lanceolaria	1
Marmorana	2
Placostylus	1
Radix	1
Planctoteuthis	1
Venustaconcha	3
Myosotella	2
Hanleyella	1
Japetella	2
Iberus	1
Wareniconcha	1
Sepioteuthis	2
Histioteuthis	13
Bartlettia	1
Heterololigo	2
Rhachistia	1
Cylindrus	1
Leoparreysia	2
Helicrenion	1
Sepiadarium	1
Pyropelta	1
Cirroteuthis	1
Elona	1
Cerithideopsis	1
Isognomostoma	1
Mediterranea	2
Bythiospeum	3
Abralia	6
Neoteuthis	1
Neritilia	1
Cristaria	1
Azeca	1
Leucophytia	1
Ambigolimax	1
Lehmannia	1
Acharax	1
Teuthowenia	2
Callinina	1
Zonitoides	1
Hedleya	1
Pseudotachea	1
Argonauta	5
Juturnia	1
Ecrobia	2
Profundiconus	6
Megalonaias	2
Thais	1
Neothauma	1
Vulcanidas	1
Oestophora	1
Cirroctopus	2
Callistoctopus	9
Villosa	3
Sthenoteuthis	2
Echinopelta	1
Grimpoteuthis	4
Boettgeria	1
Phreagena	1
Echyridella	1
Cambarunio	1
Ameloctopus	1
Bithynia	2
Strophitus	1
Lepidoteuthis	1
Hydrobia	1
Bythinella	9
Nodopelta	3
Psychroteuthis	1
Quadrula	2
Eurynia	1
Pila	5
Orcula	2
Hamiota	1
Inioteuthis	1
Galba	4
Cochlodina	5
Pagodulina	1
Watasenia	1
Lampsilis	17
Aegopinella	4
Pupilla	3
Cryptosaccus	1
Reginaia	1
Doryteuthis	8
Ctenopelta	1
Mutela	1
Peltospira	4
Theba	1
Brotia	1
Lepetodrilus	13
Norelona	1
Eupera	1
Theodoxus	4
Pseudanodonta	1
Thermosipho	1
Probythinella	1
Theskelomensor	1
Alinda	2
Atlanticoncha	1
Cistopus	2
Auriculastra	1
Arianta	2
Elasmias	1
Aetholitis	3
Sphaerium	9
Melanodrymia	3
Trissexodon	1
Corneola	4
Taningia	1
Testacella	2
Bonhamaropa	1
Renea	4
Stigmatoteuthis	5
Acicula	4
Fruticicola	1
Cucumerunio	1
Calyptogena	1
Xerarionta	3
Illex	4
Bathymargarites	1
Lindholmiola	1
Hyaloteuthis	1
Lamellidea	2
Galeoctopus	1
Ovatella	1
Fucaria	2
Eumandya	1
Meliobba	1
Solatopupa	3
Orculella	1
Bolitaena	3
Maackia	2
Anodonta	6
Iheyaspira	2
Ancylus	1
Ponentina	1
Potamopyrgus	3
Melanoides	2
Lamproscapha	2
Iberozospeum	1
Graniberia	1
Macularia	4
Sinanodonta	2
Bofilliella	1
Ocythoe	1
Lasmigona	3
Malacolimax	2
Indochinella	2
Margarites	1
Lacunoides	2
Trochulus	7
Slosarczykovia	1
Quickella	1
Menetus	1
Bathypolypus	8
Cyathermia	1
Parreysia	1
Pyramidula	1
Eucobresia	2
Potamilus	5
Campeloma	4
Spurwinkia	1
Viviparus	3
Nototodarus	4
Sutilizona	2
Micrarionta	1
Boetersiella	1
Craspedopoma	1
Beddomeia	1
Shinkailepas	5
Granaria	2
Backeljaia	2
Liburnica	2
Brachioteuthis	2
Symmetromphalus	2
Obelus	1
Gorgoleptis	3
Fusconaia	11
Egea	1
Deroceras	9
Vulcanoctopus	1
Zenobiellina	1
Truncatellina	2
Bathyteuthis	1
Bathyaustriella	1
Neripteron	2
Austrochloritis	1
Pupisoma	1
Abdopus	1
Leachia	1
Sepioloidea	1
Catillopecten	2
Suboestophora	1
Berryteuthis	1
Morlina	1
Oenopota	1
Cryptazeca	2
Marisa	1
Utterbackia	1
Graneledone	7
Potomida	1
Adelieledone	3
Forrestena	1
Austroassiminea	1
Sagittunio	1
Geloina	1
Ornithoteuthis	2
Juga	1
Gittenbergeria	1
Georissa	1
Obovaria	5
Arion	16
Sonorella	4
Vitreledonella	1
Balea	3
Onykia	4
Depressigyra	1
Semirossia	5
Islamia	2
Oestophorella	1
Neorossia	1
Austrorossia	5
Discoteuthis	2
Neritona	1
Phymorhynchus	6
Ciliella	1
Pyroteuthis	2
Orexana	1
Ferrissia	2
Eucleoteuthis	2
Hapalochlaena	3
Okutania	1
Pseudamnicola	2
Austropyrgus	1
Tolgachloritis	1
Kosicia	1
Petasina	1
Xerosecta	3
Thersites	1
Ladislavella	3
Haliphron	1
Gigantopelta	2
Pseudofusulus	1
Pyganodon	6
Jacksonena	1
Gonidea	1
Pseudorimula	2
Assiminea	2
Loligo	1
Pyrgulopsis	9
Bathymodiolus	8
Veleropilina	1
Hessemilimax	1
Truncatella	1
Biomphalaria	2
Chondrula	1
Tudorella	1
Ampullaceana	2
Afrololigo	2
