,scientific_name,depth,n_native,n_pres,n_vagabond,n_class,n_order,n_family,n_genus,max_temp,elevation,min_temp,mean_temp,prec_sum_mean,class,order,iucn_status
0,Vertigo moulinsiana,,24.0,0.0,0.0,1213.0,399.0,10.0,9.0,30.36,460.83,-11.29,10.03,2.59,Gastropoda,Stylommatophora,LR/cd
0,Cattania ardica,,1.0,0.0,0.0,1213.0,399.0,50.0,2.0,,,,,,Gastropoda,Stylommatophora,NT
0,Retinella circumsessa,,1.0,0.0,0.0,1213.0,399.0,9.0,3.0,,,,,,Gastropoda,Stylommatophora,LC
0,Hypnophila pupaeformis,,4.0,0.0,0.0,1213.0,399.0,5.0,9.0,,,,,,Gastropoda,Stylommatophora,LC
0,Ampelita fulgurata,,1.0,0.0,0.0,1213.0,399.0,13.0,2.0,32.6,,14.55,21.66,7.98,Gastropoda,Stylommatophora,EN
0,Desbruyeresia marianaensis,991.67,1.0,0.0,0.0,1213.0,399.0,26.0,4.0,29.33,,17.23,24.33,4.57,Gastropoda,,VU
0,Iheyaspira lequios,1238.5,1.0,0.0,0.0,1213.0,13.0,8.0,2.0,29.77,,11.33,23.34,6.76,Gastropoda,Trochida,CR
0,Mutela hargeri,,2.0,0.0,0.0,1213.0,179.0,1.0,1.0,33.22,,13.35,22.84,3.5,Bivalvia,Unionida,LC
0,Conus ceruttii,,3.0,0.0,0.0,1213.0,460.0,448.0,393.0,,,,,,Gastropoda,Neogastropoda,LC
0,Hemicycla pouchet,,1.0,0.0,0.0,1213.0,399.0,50.0,2.0,35.5,,5.95,18.01,0.81,Gastropoda,Stylommatophora,VU
0,Macedonica pirotana,,1.0,0.0,0.0,1213.0,399.0,39.0,1.0,34.6,,-15.9,11.73,2.41,Gastropoda,Stylommatophora,LC
0,Vestia turgida,,6.0,0.0,0.0,1213.0,399.0,39.0,2.0,29.38,,-19.72,7.44,2.01,Gastropoda,Stylommatophora,LC
0,Balcanodiscus difficilis,,1.0,0.0,0.0,1213.0,399.0,2.0,1.0,,,,,,Gastropoda,Stylommatophora,NT
0,Lepetodrilus pustulosus,2515.18,1.0,0.0,0.0,1213.0,65.0,20.0,13.0,28.17,,21.5,24.8,4.69,Gastropoda,Lepetellida,NT
0,Deroceras kasium,,1.0,0.0,0.0,1213.0,399.0,9.0,9.0,,,,,,Gastropoda,Stylommatophora,VU
